article,authorid,age,field,sex
1,2718,3,edu,2
1,2719,2,eco,2
2,2719,2,edu,2
1,3710,6,edu,1
1,3713,8,eco,1
2,3714,4,eco,1
1,3714,4,edu,1
1,3714,4,other,1
1,3716,3,other,1
1,3717,5,other,1
1,3718,4,other,2
1,4714,4,other,2
2,4719,4,edu,2
1,4721,2,eco,2
1,4723,3,eco,2
3,4723,3,other,2
1,4723,4,eco,2
1,4723,4,other,2
1,4723,5,eco,2
1,4723,5,other,2
2,4724,5,other,1
1,4727,2,eco,1
1,5715,4,other,2
1,5716,2,other,2
1,5716,3,edu,2
1,5716,3,other,2
2,5718,3,other,2
2,5718,4,other,2
1,5719,5,eco,1
1,5723,2,eco,2
2,5725,3,other,2
2,5729,1,eco,2
1,5730,4,eco,1
2,5730,5,eco,1
1,5731,5,eco,2
1,5732,2,eco,2
1,5738,3,eco,1
2,5738,3,other,1
1,5746,5,other,2
1,5762,6,other,1
1,5763,1,med,2
1,5764,5,eco,1
1,5764,5,other,1
4,5765,6,other,1
1,5766,4,other,2
4,5767,5,other,1
2,5781,5,other,1
2,5782,3,eco,1
1,5782,3,other,1
1,5784,9,other,1
2,5790,5,eco,1
1,5790,5,other,1
1,5793,8,eco,1
1,5793,8,other,1
1,5795,4,eco,2
1,5797,4,eco,2
1,5797,4,edu,2
1,5798,8,eco,1
1,5798,8,edu,1
1,5799,5,eco,1
1,5799,5,edu,1
1,5800,5,eco,1
1,5800,5,med,1
1,5800,5,other,1
1,5801,7,eco,1
1,5801,7,edu,1
1,5803,8,eco,1
1,5803,8,other,1
2,5804,5,edu,2
1,5807,6,eco,2
5,5807,6,other,2
2,5807,7,eco,2
2,5807,7,other,2
